inherited_word_id,inherited_word,meaning,lang_id,first_attestation,is_primary,is_regional,variety_or_region,notes
408,llandiu,,15,,yes,no,,
409,llaneza,,16,16,yes,no,,
410,llano,,17,12,yes,no,,
411,llantaina,,15,,yes,no,,
412,llantar,,17,13,yes,no,,
413,llantas,,17,13,yes,no,,
414,llanten,,17,13,yes,no,,
415,llanto,,17,12,yes,no,,
416,llañer,,17,13,yes,no,,
417,llatejar,,13,15,yes,no,,
418,llatir,,15,,yes,no,,
419,llave,,17,13,yes,no,,
420,llavija,,17,14,yes,no,,
421,llavija,,21,,yes,no,,
422,llaz,,15,,yes,no,,
423,lleba,,18,,yes,no,,
424,llegarán,,17,12,yes,no,,
425,llegra,,15,,yes,no,,
426,llen,,16,,yes,yes,Cantabria,
427,llena,,17,12,yes,no,,
428,llera,,15,,yes,no,,
429,lleral,,18,,yes,no,,
430,llirón,,15,,yes,no,,
431,llor,,17,14,yes,no,,
432,llorar,,17,12,yes,no,,
433,llosa,,15,11,yes,no,,
434,llouiesse,,17,12,yes,no,,
435,llueca,,15,,yes,no,,
436,llueca,,16,17,yes,no,,
437,llueza,,15,,yes,no,,
438,llumazos,,17,13,yes,no,,
439,llun,,17,13,yes,no,,
440,lluvias,,17,13,yes,no,,
441,lluviellu,,15,,yes,no,,
442,loa,,16,,yes,yes,Salamanca,
443,locajo,,16,15,yes,yes,Salamanca,
444,lovelo,,13,13,yes,no,,
445,luva,,17,11,yes,no,,
446,machados,,13,15,yes,no,,
447,macho,,13,13-14,yes,no,,
448,macho,,17,15,yes,no,,
449,macho,,17,13,yes,no,,
450,magoasse,,13,14,yes,no,,
451,majada,,17,12,yes,no,,
452,malha,,13,14,yes,no,,
453,malhada,,13,13,yes,no,,
454,mancha,,17,13,yes,no,,
455,manchados,,17,13,yes,no,,
456,manijas,,17,15,yes,no,,
457,manojos,,17,13,yes,no,,
458,mezclados,,17,12,yes,no,,
459,mezcrar,,13,13,yes,no,,
460,miraclo,,17,13,yes,no,,
461,miragre,,13,13,yes,no,,
462,moion,,17,11,yes,no,,
463,moliones,,13,10,yes,no,,
464,moolho,,13,12,yes,no,,
465,mouil,,13,13,yes,no,,
466,mueble,,17,13,yes,no,,
